Arquivo;CodProj;Data de Início;Ano de início;Data de Conclusão;Ano de Conclusão;CNPJ Pagador;Entidade Pagadora;Tipo de Entidade Pagadora;Unid. Federativa Pagadora;Região Pagadora;CNPJ Beneficiário;Entidade Beneficiária;Tipo de Entidade Beneficiária;Unid. Federativa Beneficiária;Região Beneficiária;Tipo de Custo;Source;Recursos Humanos;Serviço de Terceiros;Viagens e Diárias;Outras despesas;Material de Consumo;Material Permanente;Custo Total
APLPED00043_RELATORIOAUDITORIAPED_0116_S03.XML;PD-00043-0116;;;;;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;Custo Próprio;Custo;$17.250,00;$0,00;$0,00;$0,00;$0,00;$0,00;$17.250,00
APLPED00043_RELATORIOAUDITORIAPED_0216_S01.XML;PD-00043-0216;;;;;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Proponente;PE;Nordeste;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$1.305.888,16;;$34.016,27;$120.377,27;$97.767,58;$88.126,13;$1.646.175,41
APLPED00043_RELATORIOAUDITORIAPED_0216_S01.XML;PD-00043-0216;;;;;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Cooperada;BA;Nordeste;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Cooperada;BA;Nordeste;Custo Próprio;Custo;$34.374,03;;$566,63;;;;$34.940,66
APLPED00043_RELATORIOAUDITORIAPED_0216_S01.XML;PD-00043-0216;;;;;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;Custo Próprio;Custo;$7.082,11;;$294,70;;;;$7.376,81
APLPED00043_RELATORIOAUDITORIAPED_0416_S02.XML;PD-00043-0416;;;;;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Proponente;PE;Nordeste;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$235.729,55;$12.908,88;$26.771,67;$2.058,00;$10.688,88;$17.243,12;$305.400,10
APLPED00043_RELATORIOAUDITORIAPED_0416_S02.XML;PD-00043-0416;;;;;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Cooperada;BA;Nordeste;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Cooperada;BA;Nordeste;Custo Próprio;Custo;$34.677,86;;$5.778,95;;;;$40.456,81
APLPED00044_RELATORIOAUDITORIAPED_0014_S01.XML;PD-00044-0014;;;;;12272084000100;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;AL;Nordeste;12272084000100;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;AL;Nordeste;Custo Próprio;Custo;$96.666,80;;;;;;$96.666,80
APLPED00044_RELATORIOAUDITORIAPED_0020_S01.XML;PD-00044-0020;;;;;12272084000100;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;AL;Nordeste;12272084000100;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;AL;Nordeste;Custo Próprio;Custo;$31.583,15;;;;;;$31.583,15
APLPED00044_RELATORIOAUDITORIAPED_0028_S01.XML;PD-00044-0028;;;;;12272084000100;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;AL;Nordeste;12272084000100;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;AL;Nordeste;Custo Próprio;Custo;$89.014,20;;;;;;$89.014,20
APLPED00044_RELATORIOAUDITORIAPED_0031_S02.XML;PD-00044-0031;;;;;12272084000100;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;AL;Nordeste;12272084000100;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;AL;Nordeste;Custo Próprio;Custo;$73.211,50;;;;;$43.805,65;$117.017,15
APLPED00044_RELATORIOAUDITORIAPED_0031_S02.XML;PD-00044-0031;;;;;05914650000166;ENERGISA RONDÔNIA - DISTRIBUIDORA DE ENERGIA S.A;Cooperada;RO;Norte;05914650000166;ENERGISA RONDÔNIA - DISTRIBUIDORA DE ENERGIA S.A;Cooperada;RO;Norte;Custo Próprio;Custo;$74.986,56;;$3.555,78;$1.280,00;;;$79.822,34
APLPED00046_RELATORIOAUDITORIAPED_0005_S02.xml;PD-00046-0005;;;;;13255658000196;COMPANHIA SUL SERGIPANA DE ELETRICIDADE;Proponente;SE;Nordeste;13255658000196;COMPANHIA SUL SERGIPANA DE ELETRICIDADE;Proponente;SE;Nordeste;Custo Próprio;Custo;$20.195,36;;$1.489,06;;;;$21.684,42
APLPED00046_RELATORIOAUDITORIAPED_0005_S02.xml;PD-00046-0005;;;;;13255658000196;COMPANHIA SUL SERGIPANA DE ELETRICIDADE;Proponente;SE;Nordeste;15180714000104;Universidade Federal da Bahia;Executora;BA;Nordeste;Custo com Executoras;Custo;;$235.575,12;;;;;$235.575,12
APLPED00046_RELATORIOAUDITORIAPED_0006_S03.xml;PD-00046-0006;;;;;13255658000196;COMPANHIA SUL SERGIPANA DE ELETRICIDADE;Proponente;SE;Nordeste;13255658000196;COMPANHIA SUL SERGIPANA DE ELETRICIDADE;Proponente;SE;Nordeste;Custo Próprio;Custo;$28.186,72;;$134,00;$1.983,96;$9.131,62;$105.721,00;$145.157,30
APLPED00047_RELATORIOAUDITORIAPED_0066_S01.xml;PD-00047-0066;;;;;03871338000107;;Parceira;;;03871338000107;;;;;Contrapartida;Custo;$9.867,20;;;;;;$9.867,20
APLPED00047_RELATORIOAUDITORIAPED_0066_S01.xml;PD-00047-0066;;;;;03871338000107;;Parceira;;;05240491000161;;;;;Contrapartida;Custo;$102.084,80;$92.597,04;;;;;$194.681,84
APLPED00047_RELATORIOAUDITORIAPED_0066_S01.xml;PD-00047-0066;;;;;13504675000110;;Parceira;;;13504675000110;;;;;Contrapartida;Custo;$46.272,80;$837.589,37;;;$4.929,00;;$888.791,17
APLPED00047_RELATORIOAUDITORIAPED_0066_S01.xml;PD-00047-0066;;;;;14045546000173;;Parceira;;;14045546000173;;;;;Contrapartida;Custo;$80.808,00;;;;;;$80.808,00
APLPED00047_RELATORIOAUDITORIAPED_0078_S01.XML;PD-00047-0078;;;;;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Proponente;BA;Nordeste;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Proponente;BA;Nordeste;Custo Próprio;Custo;$367.822,95;$57.063,91;$165.213,49;$27.911,67;;$19.843,15;$637.855,17
APLPED00047_RELATORIOAUDITORIAPED_0078_S01.XML;PD-00047-0078;;;;;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Cooperada;PE;Nordeste;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Cooperada;PE;Nordeste;Custo Próprio;Custo;$26.910,29;;$47.735,45;$3.634,99;;;$78.280,73
APLPED00047_RELATORIOAUDITORIAPED_0078_S01.XML;PD-00047-0078;;;;;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;Custo Próprio;Custo;$71.195,61;;$10.036,50;;;;$81.232,11
APLPED00047_RELATORIOAUDITORIAPED_0079_S03.XML;PD-00047-0079;;;;;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Proponente;BA;Nordeste;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Proponente;BA;Nordeste;Custo Próprio;Custo;$386.378,99;$1.540.633,68;$123.229,21;$25.302,64;;;$2.075.544,52
APLPED00047_RELATORIOAUDITORIAPED_0079_S03.XML;PD-00047-0079;;;;;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Cooperada;PE;Nordeste;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Cooperada;PE;Nordeste;Custo Próprio;Custo;$12.506,33;;$16.993,28;;;;$29.499,61
APLPED00047_RELATORIOAUDITORIAPED_0079_S03.XML;PD-00047-0079;;;;;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;Custo Próprio;Custo;$66.496,02;;$7.432,23;;;;$73.928,25
APLPED00047_RELATORIOAUDITORIAPED_0080_S02.XML;PD-00047-0080;;;;;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Proponente;BA;Nordeste;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Proponente;BA;Nordeste;Custo Próprio;Custo;$343.661,24;$1.711.663,41;$8.843,54;$75,21;;;$2.064.243,40
APLPED00047_RELATORIOAUDITORIAPED_0080_S02.XML;PD-00047-0080;;;;;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Cooperada;PE;Nordeste;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Cooperada;PE;Nordeste;Custo Próprio;Custo;$73.648,08;;$36.811,66;;;;$110.459,74
APLPED00047_RELATORIOAUDITORIAPED_0080_S02.XML;PD-00047-0080;;;;;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Cooperada;RN;Nordeste;Custo Próprio;Custo;$20.178,46;;$1.115,69;;;;$21.294,15
APLPED00047_RELATORIOAUDITORIAPED_0080_S02.XML;PD-00047-0080;;;;;02328280000197;ELEKTRO REDES S.A.;Cooperada;SP;Sudeste;02328280000197;ELEKTRO REDES S.A.;Cooperada;SP;Sudeste;Custo Próprio;Custo;$130.752,60;;$2.109,73;;;;$132.862,33
APLPED00048_RELATORIOAUDITORIAPED_0008_S01.XML;PD-00048-0008;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;;$13.103,69;;;$49.957,00;$63.060,69
APLPED00048_RELATORIOAUDITORIAPED_0011_S01.XML;PD-00048-0011;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$25.217,63;;$6.479,06;;;;$31.696,69
APLPED00048_RELATORIOAUDITORIAPED_0016_S01.XML;PD-00048-0016;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;$78,80;;;;;$78,80
APLPED00048_RELATORIOAUDITORIAPED_0020_S01.XML;PD-00048-0020;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;;;;$337,21;;$337,21
APLPED00048_RELATORIOAUDITORIAPED_0025_S01.XML;PD-00048-0025;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$24.513,68;;$21.223,53;;;;$45.737,21
APLPED00048_RELATORIOAUDITORIAPED_0026_S01.XML;PD-00048-0026;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$0,00;;;;;;$0,00
APLPED00048_RELATORIOAUDITORIAPED_0044_S02.XML;PD-00048-0044;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;$11.804,27;$29.825,33;;$660,99;$444.585,10;$486.875,69
APLPED00048_RELATORIOAUDITORIAPED_0054_S01.XML;PD-00048-0054;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;;$10.972,20;;$169,41;;$11.141,61
APLPED00048_RELATORIOAUDITORIAPED_0065_S01.XML;PD-00048-0065;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$81.083,29;;;;;;$81.083,29
APLPED00048_RELATORIOAUDITORIAPED_0067_S01.XML;PD-00048-0067;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;;$5.669,76;;$4.245,81;;$9.915,57
APLPED00048_RELATORIOAUDITORIAPED_0082_S01.XML;PD-00048-0082;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$367.014,45;;$18.534,03;$2.450,00;$62,84;;$388.061,32
APLPED00048_RELATORIOAUDITORIAPED_0087_S01.XML;PD-00048-0087;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$51.880,09;;;;;;$51.880,09
APLPED00048_RELATORIOAUDITORIAPED_1108_S01.XML;PD-00048-1108;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;;;;$925,30;;$925,30
APLPED00048_RELATORIOAUDITORIAPED_1110_S01.XML;PD-00048-1110;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$101.031,91;;;;;;$101.031,91
APLPED00048_RELATORIOAUDITORIAPED_1112_S01.XML;PD-00048-1112;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$499.603,07;;$96.382,72;$1.900,00;$9.322,14;;$607.207,93
APLPED00048_RELATORIOAUDITORIAPED_1113_S01.XML;PD-00048-1113;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$672.573,02;$412.127,43;$53.949,18;$32.275,15;;;$1.170.924,78
APLPED00048_RELATORIOAUDITORIAPED_1119_S01.XML;PD-00048-1119;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$175.775,85;;;;;;$175.775,85
APLPED00048_RELATORIOAUDITORIAPED_1120_S01.XML;PD-00048-1120;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$76.089,05;;;;$72,46;;$76.161,51
APLPED00048_RELATORIOAUDITORIAPED_1121_S01.XML;PD-00048-1121;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;;$4.191,45;;;;$4.191,45
APLPED00048_RELATORIOAUDITORIAPED_1122_S01.XML;PD-00048-1122;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$5.937,44;;$56.795,03;$1.700,00;;;$64.432,47
APLPED00048_RELATORIOAUDITORIAPED_1123_S01.XML;PD-00048-1123;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;;;$34.027,23;;;;$34.027,23
APLPED00048_RELATORIOAUDITORIAPED_1124_S01.XML;PD-00048-1124;;;;;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;33541368000116;COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$5.352,68;$90.238,00;$29.776,85;;;$544.565,02;$669.932,55
APLPED00063_RELATORIOAUDITORIAPED_3010_S01.XML;PD-00063-3010;;;;;33050196000188;COMPANHIA PAULISTA DE FORÇA E LUZ;Proponente;SP;Sudeste;33050196000188;COMPANHIA PAULISTA DE FORÇA E LUZ;Proponente;SP;Sudeste;Custo Próprio;Custo;$22.636,02;;;$4.427,74;;;$27.063,76
APLPED00063_RELATORIOAUDITORIAPED_3010_S01.XML;PD-00063-3010;;;;;04172213000151;COMPANHIA PIRATININGA DE FORÇA E LUZ;Proponente;SP;Sudeste;04172213000151;COMPANHIA PIRATININGA DE FORÇA E LUZ;Proponente;SP;Sudeste;Custo Próprio;Custo;$68.176,73;;$4.295,96;$2.182,74;;;$74.655,43
APLPED00063_RELATORIOAUDITORIAPED_3010_S01.XML;PD-00063-3010;;;;;02016439000138;RIO GRANDE ENERGIA SA;Proponente;RS;Sul;02016439000138;RIO GRANDE ENERGIA SA;Proponente;RS;Sul;Custo Próprio;Custo;$9.549,07;$7.127,47;$1.277,29;$26.549,74;;$44.094,49;$88.598,06
APLPED00063_RELATORIOAUDITORIAPED_3013_S01.XML;PD-00063-3013;;;;;33050196000188;COMPANHIA PAULISTA DE FORÇA E LUZ;Proponente;SP;Sudeste;33050196000188;COMPANHIA PAULISTA DE FORÇA E LUZ;Proponente;SP;Sudeste;Custo Próprio;Custo;$2.680.984,56;$43.751,59;;$15.068,27;;$308.314,86;$3.048.119,28
APLPED00063_RELATORIOAUDITORIAPED_3013_S01.XML;PD-00063-3013;;;;;53859112000169;COMPANHIA JAGUARI DE ENERGIA;Cooperada;SP;Sudeste;53859112000169;COMPANHIA JAGUARI DE ENERGIA;Cooperada;SP;Sudeste;Custo Próprio;Custo;$28.595,98;;;;;;$28.595,98
APLPED00063_RELATORIOAUDITORIAPED_3013_S01.XML;PD-00063-3013;;;;;04172213000151;COMPANHIA PIRATININGA DE FORÇA E LUZ;Cooperada;SP;Sudeste;04172213000151;COMPANHIA PIRATININGA DE FORÇA E LUZ;Cooperada;SP;Sudeste;Custo Próprio;Custo;$55.468,90;;;$1.557,74;;;$57.026,64
